Date	time	ms	output	display	units	precision
7/3/2014	9:05:48 AM	1808	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:48 AM	1896	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:48 AM	1985	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:49 AM	2069	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2157	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2245	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2329	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2416	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2503	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2588	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2675	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:49 AM	2763	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2848	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	2937	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:49 AM	3025	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	3113	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:50 AM	3198	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	3285	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	3373	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	3458	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	3532	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	3607	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:50 AM	3695	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	3784	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	3872	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:50 AM	3957	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:50 AM	4045	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4133	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4217	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4304	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4392	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4477	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4564	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4652	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4737	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4826	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:51 AM	4914	-0.020000	-0.020000	%	3.000000
7/3/2014	9:05:51 AM	5001	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5086	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5173	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5261	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5346	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5434	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5507	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:52 AM	5585	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5674	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5763	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5846	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	5934	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:52 AM	6022	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:53 AM	6106	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:53 AM	6194	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:53 AM	6282	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:53 AM	6366	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:53 AM	6455	-0.040000	-0.040000	%	3.000000
7/3/2014	9:05:53 AM	6542	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:53 AM	6630	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:53 AM	6716	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:53 AM	6802	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:53 AM	6890	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:53 AM	6975	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7064	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7152	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7241	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7325	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7413	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7485	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7565	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7653	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7741	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	7830	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:54 AM	7914	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:54 AM	8001	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:55 AM	8090	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:55 AM	8175	-0.050000	-0.050000	%	3.000000
7/3/2014	9:05:55 AM	8262	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:55 AM	8350	-0.030000	-0.030000	%	3.000000
7/3/2014	9:05:55 AM	8434	-0.030000	-0.030000	%	3.000000
